stage_index,operator,layer,resource,service_s,normalized_service,dominant
7,KV_APPEND,0,EXTERNAL_BOUNDARY,3.036195780600168e-08,0.37913450003792315,False
7,KV_APPEND,0,GPU_COMPUTE,0.0,0.0,False
8,ATTENTION_QK,0,ARRAY,6.403976043095905e-07,0.515750755673769,False
8,ATTENTION_QK,0,MAC,9.92e-07,0.7989173385180899,False
8,ATTENTION_QK,0,LOCAL_FABRIC,1.2416803994266275e-06,1.0,True
8,ATTENTION_QK,0,INTER_REGION_NOC,2.79e-07,0.22469550145821277,False
8,ATTENTION_QK,0,EXTERNAL_BOUNDARY,1.1450729411764707e-06,0.9221961961429307,False
8,ATTENTION_QK,0,GPU_COMPUTE,0.0,0.0,False
9,SOFTMAX,0,ARRAY,0.0,0.0,False
9,SOFTMAX,0,MAC,0.0,0.0,False
9,SOFTMAX,0,LOCAL_FABRIC,0.0,0.0,False
9,SOFTMAX,0,INTER_REGION_NOC,0.0,0.0,False
9,SOFTMAX,0,EXTERNAL_BOUNDARY,0.0,0.0,False
9,SOFTMAX,0,GPU_COMPUTE,5.367466666666667e-07,1.0,True
10,ATTENTION_AV,0,ARRAY,6.403976043095905e-07,0.2068467714178264,False
10,ATTENTION_AV,0,MAC,1.504e-06,0.48578811369509045,False
10,ATTENTION_AV,0,LOCAL_FABRIC,1.3613797813147126e-06,0.4397221515874395,False
10,ATTENTION_AV,0,INTER_REGION_NOC,3.0959999999999997e-06,1.0,True
10,ATTENTION_AV,0,EXTERNAL_BOUNDARY,1.911265882352941e-06,0.6173339413284694,False
10,ATTENTION_AV,0,GPU_COMPUTE,0.0,0.0,False
11,AV_REDUCTION,0,ARRAY,0.0,0.0,False
11,AV_REDUCTION,0,MAC,0.0,0.0,False
11,AV_REDUCTION,0,LOCAL_FABRIC,0.0,0.0,False
11,AV_REDUCTION,0,INTER_REGION_NOC,0.0,0.0,False
11,AV_REDUCTION,0,EXTERNAL_BOUNDARY,0.0,0.0,False
11,AV_REDUCTION,0,GPU_COMPUTE,1.0871466666666666e-06,1.0,True
12,O,0,ARRAY,2.5626331808233507e-06,1.0,True
12,O,0,MAC,1.792e-06,0.699280729450419,False
12,O,0,LOCAL_FABRIC,1.9321612167344176e-06,0.7539749470166588,False
12,O,0,INTER_REGION_NOC,0.0,0.0,False
12,O,0,EXTERNAL_BOUNDARY,7.783613788613193e-07,0.30373499597442927,False
12,O,0,GPU_COMPUTE,0.0,0.0,False
13,RESIDUAL_ADD,0,ARRAY,0.0,0.0,False
13,RESIDUAL_ADD,0,MAC,0.0,0.0,False
13,RESIDUAL_ADD,0,LOCAL_FABRIC,0.0,0.0,False
13,RESIDUAL_ADD,0,INTER_REGION_NOC,0.0,0.0,False
13,RESIDUAL_ADD,0,EXTERNAL_BOUNDARY,0.0,0.0,False
13,RESIDUAL_ADD,0,GPU_COMPUTE,5.12e-09,1.0,True
14,RMSNORM,0,ARRAY,0.0,0.0,False
14,RMSNORM,0,MAC,0.0,0.0,False
14,RMSNORM,0,LOCAL_FABRIC,0.0,0.0,False
14,RMSNORM,0,INTER_REGION_NOC,0.0,0.0,False
14,RMSNORM,0,EXTERNAL_BOUNDARY,0.0,0.0,False
14,RMSNORM,0,GPU_COMPUTE,5.12e-09,1.0,True
15,FFN_GATE,0,ARRAY,2.5626331808233507e-06,0.9962351553010236,False
15,FFN_GATE,0,MAC,2.304e-06,0.8956903449896372,False
15,FFN_GATE,0,LOCAL_FABRIC,2.5723175569416864e-06,1.0,True
15,FFN_GATE,0,INTER_REGION_NOC,2.79e-07,0.10846250271358888,False
15,FFN_GATE,0,EXTERNAL_BOUNDARY,7.787970799635962e-07,0.302760861644755,False
15,FFN_GATE,0,GPU_COMPUTE,0.0,0.0,False
16,FFN_UP,0,ARRAY,2.5626331808233507e-06,0.9962351902374782,False
16,FFN_UP,0,MAC,2.304e-06,0.8956903764001379,False
