iteration_index,metric,value
135,relative_residual,5.0012219222574025e-06
136,relative_residual,4.217450349315561e-06
137,relative_residual,3.8145378422506272e-06
138,relative_residual,4.0317986045189e-06
139,relative_residual,4.456012089960236e-06
140,relative_residual,4.0432415730650865e-06
141,relative_residual,3.623348342418141e-06
142,relative_residual,3.2466371973376804e-06
143,relative_residual,2.872336384180132e-06
144,relative_residual,2.610947647985769e-06
145,relative_residual,2.137470055016978e-06
146,relative_residual,1.6636642297916463e-06
147,relative_residual,1.5038427042301933e-06
148,relative_residual,1.3161214036508997e-06
149,relative_residual,1.3897655608634641e-06
150,relative_residual,1.3897314247409648e-06
151,relative_residual,1.466888682149806e-06
152,relative_residual,1.4767969743524392e-06
153,relative_residual,1.5326635712121397e-06
154,relative_residual,1.6911240293921822e-06
155,relative_residual,1.6641874985921392e-06
156,relative_residual,1.4820989997995778e-06
157,relative_residual,1.2956705751726207e-06
158,relative_residual,1.2919300930319305e-06
159,relative_residual,1.0918365353152364e-06
160,relative_residual,8.935108715537567e-07
161,relative_residual,6.967843924375858e-07
162,relative_residual,6.580550065611489e-07
163,relative_residual,5.558173359896108e-07
164,relative_residual,4.4784460429751084e-07
165,relative_residual,3.9544489552227826e-07
166,relative_residual,3.233193078223499e-07
167,relative_residual,2.732709317382586e-07
168,relative_residual,2.2466134852819177e-07
169,relative_residual,2.1172134599508462e-07
170,relative_residual,1.834568695290075e-07
171,relative_residual,1.8753290331125682e-07
172,relative_residual,1.8531771366570192e-07
