model,context,batch,path,H,P,G,mean_TTFT,P95_TTFT,max_TTFT,mean_TPOT,P95_TPOT,mean_completion_latency,P95_completion_latency,max_completion_latency
Qwen2.5-32B,LC20K,32,HBM_HOST_OFFLOAD,20000,128,32,0.7318328227600048,0.7318328227600048,0.7318328227600048,0.21299262963923718,0.21299262963923718,7.33491664263799,7.33491664263799,7.33491664263799
Qwen2.5-32B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,1.4938867362395243,3.6327287271094875,3.6327287271094875,0.042538623183239976,0.044677234873418965,2.8126008393451207,4.487352574723095,4.487352574723095
Qwen2.5-32B,LC20K,32,HBM_BEST,20000,128,32,1.4938867362395243,3.6327287271094875,3.6327287271094875,0.042538623183239976,0.044677234873418965,2.8126008393451207,4.487352574723095,4.487352574723095
Qwen2.5-32B,LC20K,32,M3D_GPU,20000,128,32,0.5901663251563272,0.5901663251563272,0.5901663251563272,0.0710527171103667,0.0710527171103667,2.7928394417141345,2.7928394417141345,2.7928394417141345
Qwen2.5-32B,LC20K,32,M3D_NMP_UNIFORM,20000,128,32,0.6147290660799816,0.6147290660799816,0.6147290660799816,0.09558059180173818,0.09558059180173818,3.577731431838022,3.577731431838022,3.577731431838022
Qwen2.5-32B,LC20K,32,M3D_NMP_CPA,20000,128,32,0.5994601092944565,0.5994601092944565,0.5994601092944565,0.08031544182622159,0.08031544182622159,3.089246632621491,3.089246632621491,3.089246632621491
Qwen2.5-32B,LC64K,1,HBM_HOST_OFFLOAD,64000,128,32,0.05347908436616909,0.05347908436616909,0.05347908436616909,0.026172623109139252,0.026172623109139252,0.8648317171749884,0.8648317171749884,0.8648317171749884
Qwen2.5-32B,LC64K,1,HBM_RESIDENT_WAVE,64000,128,32,0.05347908436616909,0.05347908436616909,0.05347908436616909,0.026172623109139252,0.026172623109139252,0.8648317171749884,0.8648317171749884,0.8648317171749884
Qwen2.5-32B,LC64K,1,HBM_BEST,64000,128,32,0.05347908436616909,0.05347908436616909,0.05347908436616909,0.026172623109139252,0.026172623109139252,0.8648317171749884,0.8648317171749884,0.8648317171749884
Qwen2.5-32B,LC64K,1,M3D_GPU,64000,128,32,0.05164186636886393,0.05164186636886393,0.05164186636886393,0.02487391647547398,0.02487391647547398,0.8227345212869388,0.8227345212869388,0.8227345212869388
Qwen2.5-32B,LC64K,1,M3D_NMP_UNIFORM,64000,128,32,0.032134020924186865,0.032134020924186865,0.032134020924186865,0.005364959853388171,0.005364959853388171,0.19844790938019288,0.19844790938019288,0.19844790938019288
Qwen2.5-32B,LC64K,1,M3D_NMP_CPA,64000,128,32,0.03182293611921893,0.03182293611921893,0.03182293611921893,0.005053866796467099,0.005053866796467099,0.18849293155871857,0.18849293155871857,0.18849293155871857
Qwen2.5-32B,LC64K,8,HBM_HOST_OFFLOAD,64000,128,32,0.34306608675296757,0.34306608675296757,0.34306608675296757,0.12899060944420426,0.12899060944420426,4.341853054788708,4.341853054788708,4.341853054788708
