model,context,batch,path,H,P,G,Tmax_C,thermal_feasible,thermal_metric,GPU_power_W,memory_power_W,mapping,operator_signature,hotspot_component,hotspot_x,hotspot_y,hotspot_z,hotspot_die,thermal_solve_s,iterations,relative_residual,max_temperature_update_K,thermal_status
Qwen2.5-32B,LC64K,8,M3D_NMP_UNIFORM,64000,128,32,73.07711033289337,True,PEAK_DECODE_STEADY_STATE,172.05335942966892,240.0333988396856,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,0.0007500000000000007,0.00037179,,7.416067199999816,2210,0.0005551440942031884,0.009161421076919626,THERMAL_FEASIBLE
Qwen2.5-32B,LC64K,8,M3D_NMP_CPA,64000,128,32,73.17742591582544,True,PEAK_DECODE_STEADY_STATE,185.30256210616793,223.8581300386898,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,-0.0007500000000000007,0.00037179,,7.416744100002688,2210,0.0005616054846387429,0.00849615631711898,THERMAL_FEASIBLE
Qwen2.5-32B,LC64K,32,HBM_BEST,64000,128,32,85.0,True,THERMAL_CLOSED_ACTIVE_SERVICE_DESIGN_POINT,,,,,,,,,,,,,,
Qwen2.5-32B,LC64K,32,M3D_GPU,64000,128,32,83.418561668998,True,PEAK_DECODE_STEADY_STATE,381.82153190055476,23.591999277893496,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.01595,-0.002250000000000001,0.00037179,,7.687731199999689,2290,0.0005612408860610986,0.007986522827116278,THERMAL_FEASIBLE
Qwen2.5-32B,LC64K,32,M3D_NMP_UNIFORM,64000,128,32,73.6636680278524,True,PEAK_DECODE_STEADY_STATE,175.57489716509812,240.62191330254203,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,0.0007500000000000007,0.00037179,,7.414494299999205,2210,0.0005619094066551948,0.0091269141078387,THERMAL_FEASIBLE
Qwen2.5-32B,LC64K,32,M3D_NMP_CPA,64000,128,32,74.66896188054864,True,PEAK_DECODE_STEADY_STATE,187.93730128052286,233.4253083599271,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,-0.0007500000000000007,0.00037179,,7.415143000005628,2210,0.0005760753963523133,0.008653043458138266,THERMAL_FEASIBLE
Qwen2.5-32B,LC126K,1,HBM_BEST,126000,128,32,85.0,True,THERMAL_CLOSED_ACTIVE_SERVICE_DESIGN_POINT,,,,,,,,,,,,,,
Qwen2.5-32B,LC126K,1,M3D_GPU,126000,128,32,82.8329452213573,True,PEAK_DECODE_STEADY_STATE,378.3417988299587,23.29666693220253,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.01595,-0.002250000000000001,0.00037179,,7.678867399998126,2290,0.0005535300066071653,0.007875024215394173,THERMAL_FEASIBLE
Qwen2.5-32B,LC126K,1,M3D_NMP_UNIFORM,126000,128,32,67.45156977177737,True,PEAK_DECODE_STEADY_STATE,141.5681442083027,230.12492978928708,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.010195348000000003,0.0012500000000000011,0.00037179,,7.2470071999996435,2160,0.0005930836419664035,0.00977791174316787,THERMAL_FEASIBLE
Qwen2.5-32B,LC126K,1,M3D_NMP_CPA,126000,128,32,66.48143399769748,True,PEAK_DECODE_STEADY_STATE,144.60312339798153,217.74450518699146,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.010195348000000003,-0.0002500000000000002,0.00037179,,7.145298599993112,2130,0.0006290943442876239,0.009879016654253834,THERMAL_FEASIBLE
Qwen2.5-32B,LC126K,8,HBM_BEST,126000,128,32,85.0,True,THERMAL_CLOSED_ACTIVE_SERVICE_DESIGN_POINT,,,,,,,,,,,,,,
Qwen2.5-32B,LC126K,8,M3D_GPU,126000,128,32,83.33205828163062,True,PEAK_DECODE_STEADY_STATE,381.3431977266096,23.51954678596953,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.01595,0.002250000000000001,0.00037179,,7.685363700002199,2290,0.00055823710611455,0.007941170750022921,THERMAL_FEASIBLE
Qwen2.5-32B,LC126K,8,M3D_NMP_UNIFORM,126000,128,32,74.46565602399261,True,PEAK_DECODE_STEADY_STATE,172.25834997116704,251.66391458099338,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,-0.0007500000000000007,0.00037179,,7.411401899997145,2210,0.0005688182350175791,0.009753444456481151,THERMAL_FEASIBLE
Qwen2.5-32B,LC126K,8,M3D_NMP_CPA,126000,128,32,74.47664352976756,True,PEAK_DECODE_STEADY_STATE,182.43952160506169,238.8382681984465,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,-0.0007500000000000007,0.00037179,,7.418271599992295,2210,0.0005723303806581763,0.008892485315522225,THERMAL_FEASIBLE
Qwen2.5-32B,LC126K,32,HBM_BEST,126000,128,32,85.0,True,THERMAL_CLOSED_ACTIVE_SERVICE_DESIGN_POINT,,,,,,,,,,,,,,
Qwen2.5-32B,LC126K,32,M3D_GPU,126000,128,32,83.48500277206779,True,PEAK_DECODE_STEADY_STATE,382.25975319551833,23.587805900829963,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.01595,0.002250000000000001,0.00037179,,7.684035199999926,2290,0.0005594773816791549,0.007960119475435125,THERMAL_FEASIBLE
Qwen2.5-32B,LC126K,32,M3D_NMP_UNIFORM,126000,128,32,75.11415660084248,True,PEAK_DECODE_STEADY_STATE,175.98047976408685,252.70577457050362,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,-0.0007500000000000007,0.00037179,,7.411092900001677,2210,0.0005752234474063737,0.00972714977563184,THERMAL_FEASIBLE
Qwen2.5-32B,LC126K,32,M3D_NMP_CPA,126000,128,32,76.28621771088638,True,PEAK_DECODE_STEADY_STATE,185.7840673644344,250.29587618617842,DIE_GROUPED_BEOL_UNIFORM,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,0.0007500000000000007,0.00037179,,7.410325400007423,2210,0.0005901831264063386,0.00943409550933453,THERMAL_FEASIBLE
