model,context,batch,path,H,P,G,prefill_gpu_dynamic_J,prefill_gpu_static_J,prefill_hbm_read_J,prefill_hbm_write_J,prefill_host_memory_J,prefill_c2c_J,decode_gpu_dynamic_J,decode_gpu_static_J,decode_hbm_read_J,decode_hbm_write_J,decode_host_memory_J,decode_c2c_J,admission_host_memory_J,admission_c2c_J,admission_hbm_write_J,admission_gpu_static_J,E2E_J,decode_array_read_J,decode_array_write_J,decode_read_peripheral_J,decode_row_select_J,decode_column_select_J,decode_write_driver_J,decode_router_J,decode_pipeline_register_J,decode_sram_read_J,decode_sram_write_J,decode_mac_J,decode_reduction_J,decode_interface_J,decode_miv_J,decode_feol_wire_J,decode_feol_unresolved_J,prefill_array_read_J,prefill_array_write_J,prefill_read_peripheral_J,prefill_row_select_J,prefill_column_select_J,prefill_write_driver_J,prefill_router_J,prefill_pipeline_register_J,prefill_sram_read_J,prefill_sram_write_J,prefill_mac_J,prefill_reduction_J,prefill_interface_J,prefill_miv_J,prefill_feol_wire_J,prefill_feol_unresolved_J
Qwen2.5-32B,LC20K,8,HBM_HOST_OFFLOAD,20000,128,32,49.442782385562325,9.604321142374399,2.97699311616,0.162880378339328,0.0,0.0,317.58996956250104,81.48737626500564,81.57115554201602,0.0010713259048960003,0.0,0.0,0.0,0.0,0.0,0.0,542.8365497178637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-32B,LC20K,8,HBM_RESIDENT_WAVE,20000,128,32,49.442782385562325,9.604321142374399,2.97699311616,0.162880378339328,0.0,0.0,317.58996956250104,81.48737626500564,81.57115554201602,0.0010713259048960003,0.0,0.0,0.0,0.0,0.0,0.0,542.8365497178637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-32B,LC20K,8,HBM_BEST,20000,128,32,49.442782385562325,9.604321142374399,2.97699311616,0.162880378339328,0.0,0.0,317.58996956250104,81.48737626500564,81.57115554201602,0.0010713259048960003,0.0,0.0,0.0,0.0,0.0,0.0,542.8365497178637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-32B,LC20K,8,M3D_GPU,20000,128,32,49.442782385562325,9.604321142374399,,,,,317.58996956250115,77.19446812732943,,,,,,,,,479.1089703963491,5.011187988797849,1.9998441472e-07,1.08761540722688,6.7108864e-05,6.7108864e-05,5.36870912e-05,0.0,0.0,0.0,0.0,0.0,0.0,13.595461025792,0.0665052978241486,4.545616031552147,0.0,0.18288661043609597,3.0404881448959997e-05,0.0396932415488,0.010202980351999999,0.010202980351999999,0.0081623842816,0.0,0.0,0.0,0.0,0.0,0.0,0.536977440768,0.002626747173074994,0.18007253279225055,0.0
Qwen2.5-32B,LC20K,8,M3D_NMP_UNIFORM,20000,128,32,49.442782385562325,9.604321142374399,,,,,77.03481594937344,59.26848924536944,,,,,,,,,377.8526542280737,5.011187988797849,1.9998441472e-07,1.08761540722688,6.7108864e-05,6.7108864e-05,5.36870912e-05,29.3679243722752,2.117364350976,30.429874642896003,30.429874642896003,23.1349420032,0.82694897664,3.297723285504,0.0665052978241486,30.291904197304113,25.469431864902003,0.18288661043609597,3.0404881448959997e-05,0.0396932415488,0.010202980351999999,0.010202980351999999,0.0081623842816,0.0,0.0,0.0,0.0,0.0,0.0,0.536977440768,0.002626747173074994,0.17997758035533098,0.0
Qwen2.5-32B,LC20K,8,M3D_NMP_CPA,20000,128,32,49.442782385562325,9.604321142374399,,,,,77.03481594937344,49.14296901645093,,,,,,,,,323.2279648056147,5.011187988797849,1.9998441472e-07,1.08761540722688,6.7108864e-05,6.7108864e-05,5.36870912e-05,20.3871175573504,2.117364350976,20.793106643784,20.793106643784,23.1349420032,0.22674407423999998,3.297723285504,0.0665052978241486,18.998446168349872,21.11819479355594,0.18288661043609597,3.0404881448959997e-05,0.0396932415488,0.010202980351999999,0.010202980351999999,0.0081623842816,0.0,0.0,0.0,0.0,0.0,0.0,0.536977440768,0.002626747173074994,0.1800512026639568,0.0
Qwen2.5-32B,LC20K,32,HBM_HOST_OFFLOAD,20000,128,32,197.7711295422493,38.417284569497596,5.1773225041919995,0.651521513357312,2.833235574784,0.9208015618047999,696.5481672854728,504.36654698571357,110.80371378585598,0.0,90.80560785817597,29.511822553907198,0.0,0.0,0.0,0.0,1677.8071537350106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-32B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,197.7711295422493,38.417284569497596,10.372731371519999,0.651521513357312,0.0,0.0,1079.0893079284942,276.87321668201747,277.15690718822395,0.0042853036195839985,0.0,0.0,3.0198988800000004,0.9814671359999999,1.5065520537600001,16.773589277993946,1902.6178914467334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-32B,LC20K,32,HBM_BEST,20000,128,32,197.7711295422493,38.417284569497596,10.372731371519999,0.651521513357312,0.0,0.0,1079.0893079284942,276.87321668201747,277.15690718822395,0.0042853036195839985,0.0,0.0,3.0198988800000004,0.9814671359999999,1.5065520537600001,16.773589277993946,1902.6178914467334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-32B,LC20K,32,M3D_GPU,20000,128,32,197.7711295422493,38.417284569497596,,,,,696.5481672854733,168.25283411734836,,,,,,,,,1156.8250100777468,10.990514084406886,7.9993765888e-07,2.38535302971392,0.000268435456,0.000268435456,0.0002147483648,0.0,0.0,0.0,0.0,0.0,0.0,29.817986613248,0.14586134387379052,9.983649753983306,0.0,0.44860150828236794,0.00012161952579583999,0.09736332247040001,0.040811921407999996,0.040811921407999996,0.0326495371264,0.0,0.0,0.0,0.0,0.0,0.0,1.380289216512,0.006751993460337356,0.4640762785447142,0.0
