architecture,bandwidth_TBps,point_kind,GPU_static_W,GPU_dynamic_W,array_read_W,read_peripheral_W,miv_effective_W,feol_route_effective_W,interface_W,total_memory_side_W,MAC_W,SRAM_W,NMP_router_W,NMP_NoC_W,reduction_W,NMP_unresolved_W,total_M3D_W,total_package_W
orthogonal_m3d_igzo,3.3957835580626607,85C_LOCAL_REFINEMENT,74.0,317.302015665375,5.006743278007587,1.0866507385800515,0.06644494675675658,4.538296657026679,13.583134232250643,24.281269852621715,0,0,0,0,0,0,24.281269852621715,415.5832855179967
orthogonal_m3d_300um_sensitivity,0.0,ORIGINAL_COARSE_GRID,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,74.0
orthogonal_m3d_300um_sensitivity,0.2,ORIGINAL_COARSE_GRID,74.0,18.688000000000002,0.29488,0.064,0.003913379378906251,0.2672901013523863,0.8,1.4300834807312928,0,0,0,0,0,0,1.4300834807312925,94.1180834807313
orthogonal_m3d_300um_sensitivity,0.4,ORIGINAL_COARSE_GRID,74.0,37.376000000000005,0.58976,0.128,0.007826758757812502,0.5345802027047726,1.6,2.8601669614625855,0,0,0,0,0,0,2.860166961462585,114.23616696146259
orthogonal_m3d_300um_sensitivity,0.6,ORIGINAL_COARSE_GRID,74.0,56.06399999999999,0.88464,0.192,0.011740138136718753,0.8018703040571589,2.4,4.290250442193877,0,0,0,0,0,0,4.290250442193877,134.35425044219386
orthogonal_m3d_300um_sensitivity,0.8,ORIGINAL_COARSE_GRID,74.0,74.75200000000001,1.17952,0.256,0.015653517515625003,1.0691604054095452,3.2,5.720333922925171,0,0,0,0,0,0,5.72033392292517,154.47233392292517
orthogonal_m3d_300um_sensitivity,1.0,ORIGINAL_COARSE_GRID,74.0,93.44,1.4744,0.32,0.019566896894531255,1.3364505067619314,4.0,7.150417403656463,0,0,0,0,0,0,7.150417403656463,174.59041740365646
orthogonal_m3d_300um_sensitivity,1.2,ORIGINAL_COARSE_GRID,74.0,112.12799999999999,1.76928,0.384,0.023480276273437507,1.6037406081143177,4.8,8.580500884387755,0,0,0,0,0,0,8.580500884387755,194.70850088438775
orthogonal_m3d_300um_sensitivity,1.4,ORIGINAL_COARSE_GRID,74.0,130.816,2.0641599999999998,0.44799999999999995,0.027393655652343755,1.8710307094667038,5.6,10.010584365119048,0,0,0,0,0,0,10.01058436511905,214.82658436511906
orthogonal_m3d_300um_sensitivity,1.6,ORIGINAL_COARSE_GRID,74.0,149.504,2.35904,0.512,0.031307035031250006,2.1383208108190903,6.4,11.440667845850342,0,0,0,0,0,0,11.44066784585034,234.94466784585032
