model,context,batch,H,P,G,feol_frequency_ghz,t_prefill,t_decode,t_e2e,e_prefill,e_decode,e_e2e,tokens_per_s,tokens_per_j,tmax_c,thermal_feasible,dominant_bottleneck,bottleneck_definition,source,ARRAY_service_s,LOCAL_FABRIC_service_s,MAC_service_s,INTER_REGION_NOC_service_s,EXTERNAL_BOUNDARY_service_s,GPU_COMPUTE_service_s,normalized_throughput,normalized_energy_efficiency,noc_service_s,GPU_power_W,local_array_bytes,boundary_bytes,event_conservation,energy_conservation,elapsed_s,reduction_service_s
Llama-3.1-8B,LC64K,1,64000,128,32,1.5,0.008695789837165714,0.04958716505850372,0.05828295489566943,4.1313259257180635,17.27838235462038,21.409708280338442,549.0456010214691,1.494649043368196,65.15003413156535,True,ARRAY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.03002180035104851,0.016723312841640907,0.010983999999999999,0.004245846619077401,0.012470639072600872,0.002910347973333342,1.0576916675545665,1.016616118169934,0.0028477452857440656,153.02291491716588,749339934720.0,41936240640.0,PASS,PASS,31.884292999995523,0.001398101333333335
Llama-3.1-8B,LC64K,1,64000,128,32,2.0,0.008695789837165714,0.04855604036804235,0.05725183020520806,4.1313259257180635,17.169289362369565,21.300615288087627,558.9340966970351,1.5023040211376433,65.7986519921597,True,ARRAY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.03002180035104851,0.01257550665149778,0.008238000000000028,0.0032147219286161005,0.012470639072600872,0.002910347973333342,1.0767410497210699,1.0218228078735687,0.0021661459286160933,154.70102701332738,749339934720.0,41936240640.0,PASS,PASS,34.70597700000508,0.0010485760000000072
Llama-3.1-8B,LC64K,1,64000,128,32,2.5,0.008695789837165714,0.04793736555376558,0.05663315539093129,4.1313259257180635,17.103833567019084,21.235159492737147,565.0400331591657,1.5069347612361774,66.20557134001194,True,ARRAY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.03002180035104851,0.01008684658899778,0.006590399999999996,0.0025960471143393065,0.012470639072600872,0.002910347973333342,1.0885036393977705,1.0249725004680368,0.0017571863143393126,155.74254634428473,749339934720.0,41936240640.0,PASS,PASS,31.782010299997637,0.0008388607999999939
Llama-3.1-8B,LC64K,1,64000,128,32,3.0,0.008695789837165714,0.04752491567758102,0.056220705514746734,4.1313259257180635,17.060196370118756,21.19152229583682,569.1853153925003,1.5100378138613741,66.47971050876879,True,ARRAY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.03002180035104851,0.008427746262222514,0.0054919999999999995,0.002183597238154789,0.012470639072600872,0.002910347973333342,1.0964891882660306,1.0270831051804283,0.0014845465714881218,156.45195745292168,749339934720.0,41936240640.0,PASS,PASS,31.04051609999442,0.0006990506666666673
Llama-3.1-8B,LC64K,8,64000,128,32,1.0,0.06956631869732571,0.2842926238148622,0.3538589425121879,32.299373542399586,112.0842345837589,144.3836081261585,723.4521139484348,1.7730544576522436,71.43578822299287,True,MAC,LARGEST_SERVICE_SUM; NOMINAL_STAGE_CLASSIFICATION_NOT_STORED,FROZEN_V3_NOMINAL,0.07392325919572573,0.10167136133785458,0.10469516800000023,0.04950447999999994,0.09877652758732637,0.023282783786666737,1.0,1.0,,,,,,,,
Llama-3.1-8B,LC64K,8,64000,128,32,1.25,0.06956631869732571,0.2549577174064268,0.3245240361037525,32.299373542399586,108.98060148574645,141.27997502814603,788.8475783598201,1.8120048502910568,75.67303498202028,True,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.07392325919572573,0.0813625769628547,0.08375613439999997,0.03962784877766381,0.09877652758732637,0.023282783786666737,1.0903936323504149,1.021967961824697,0.026061896777663875,196.95442131387153,2632632500224.0,335489925120.0,PASS,PASS,219.5400406000117,0.013565951999999933
Llama-3.1-8B,LC64K,8,64000,128,32,1.5,0.06956631869732571,0.239219332590837,0.3087856512881627,32.299373542399586,107.31548037225706,139.61485391465663,829.0540668973557,1.8336157852980812,78.37468102244213,True,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.07392325919572573,0.06782338737952133,0.0697967786666667,0.03304342796277304,0.09877652758732637,0.023282783786666737,1.145969513272371,1.0341564960875644,0.021738467962773022,205.0436671806581,2632632500224.0,335489925120.0,PASS,PASS,222.53689019999,0.01130496000000002
Llama-3.1-8B,LC64K,8,64000,128,32,2.0,0.06956631869732571,0.22264166974629243,0.29220798844361817,32.299373542399586,105.56156364330424,137.86093718570382,876.088300540748,1.8569437088270948,81.63344713829781,True,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.07392325919572573,0.05089949432337022,0.052347584000000114,0.024812901944159492,0.09877652758732637,0.023282783786666737,1.210983123346285,1.0473134092485414,0.016334181944159525,214.80103980056876,2632632500224.0,335489925120.0,PASS,PASS,224.9098854999902,0.008478719999999967
Llama-3.1-8B,LC64K,8,64000,128,32,2.5,0.06956631869732571,0.21613072418253945,0.2856970428798652,32.299373542399586,104.87270560265917,137.17207914505875,896.0540767922729,1.8662690074798776,83.01680694554875,True,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.07392325919572573,0.040745169991744074,0.04187806719999999,0.019874586332991436,0.09877652758732637,0.023282783786666737,1.2385810470603458,1.0525728634139428,0.013091610332991449,219.04267600906567,2632632500224.0,335489925120.0,PASS,PASS,226.85672820000036,0.0067829759999999874
Llama-3.1-8B,LC64K,8,64000,128,32,3.0,0.06956631869732571,0.21251351919157016,0.2820798378888959,32.299373542399586,104.49000531461462,136.7893788570142,907.5444807254601,1.8714903316257947,83.84078989728181,True,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,NEW_PHYSICAL_EXECUTION,0.07392325919572573,0.033975631640943346,0.03489838933333335,0.016582375925546025,0.09877652758732637,0.023282783786666737,1.2544637899698594,1.0555176822396606,0.010929895925546032,221.51145584744663,2632632500224.0,335489925120.0,PASS,PASS,221.29887410000083,0.005652479999999993
