model,context,batch,path,E2E_J,conservation,GPU_energy_J,local_memory_energy_J,external_memory_energy_J,decode_array_read_J,decode_array_write_J,decode_read_peripheral_J,decode_row_select_J,decode_column_select_J,decode_write_driver_J,decode_router_J,decode_pipeline_register_J,decode_sram_read_J,decode_sram_write_J,decode_mac_J,decode_reduction_J,decode_interface_J,decode_miv_J,decode_feol_wire_J,decode_gpu_dynamic_J,decode_gpu_static_J,decode_feol_unresolved_J,prefill_array_read_J,prefill_array_write_J,prefill_read_peripheral_J,prefill_row_select_J,prefill_column_select_J,prefill_write_driver_J,prefill_router_J,prefill_pipeline_register_J,prefill_sram_read_J,prefill_sram_write_J,prefill_mac_J,prefill_reduction_J,prefill_interface_J,prefill_miv_J,prefill_feol_wire_J,prefill_gpu_dynamic_J,prefill_gpu_static_J,prefill_feol_unresolved_J
Llama-3.1-8B,LC64K,1,M3D_NMP_UNIFORM,24.16382900723091,PASS,,,,1.1048206156693503,1.249902592e-08,0.23978743693312,4.194304e-06,4.194304e-06,3.3554432e-06,2.1986206285824,0.08665553698816,1.1812506501120001,1.1812506501120001,1.556447494144,0.041347448832,0.16774496256,0.014662250178962923,2.2662289852235893,3.9185223254016,4.2491621376557065,1.8259912969925876,0.035464175281766395,1.1506747904e-06,0.00769705377792,0.00038613248,0.00038613248,0.000308905984,0.0,0.0,0.0,0.0,0.0,0.0,0.097757702144,0.0004782034989164206,0.03269600825688449,3.312660918766666,0.6434884479502628,0.0
Llama-3.1-8B,LC64K,1,M3D_NMP_CPA,21.76545452310836,PASS,,,,1.1048206156693503,1.249902592e-08,0.23978743693312,4.194304e-06,4.194304e-06,3.3554432e-06,1.8437053349888,0.08665553698816,0.7078500433920001,0.7078500433920001,1.556447494144,0.025341984768,0.16774496256,0.014662250178962923,1.6586605064644662,3.9185223254016,3.918270837816743,1.6837974681428705,0.035464175281766395,1.1506747904e-06,0.00769705377792,0.00038613248,0.00038613248,0.000308905984,0.0,0.0,0.0,0.0,0.0,0.0,0.097757702144,0.0004782034989164206,0.032697102679741484,3.312660918766666,0.6434884479502628,0.0
Llama-3.1-8B,LC64K,8,HBM_GPU,406.0883071272926,PASS,340.75941598044636,65.32889114684622,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC64K,8,M3D_GPU,356.46227071325114,PASS,,,,3.8815038856757247,9.999220736e-08,0.84243166265344,3.3554432e-05,3.3554432e-05,2.68435456e-05,0.0,0.0,0.0,0.0,0.0,0.0,10.530530000896,0.051512459993328,3.517408597534025,245.99318082093058,59.34628631449816,0.0,0.12880524476416,9.2053983232e-06,0.027955560448,0.00308905984,0.00308905984,0.002471247872,0.0,0.0,0.0,0.0,0.0,0.0,0.36180074496,0.001769829821382135,0.12113803198877067,26.501287350133328,5.147907583602103,0.0
Llama-3.1-8B,LC64K,8,M3D_NMP_UNIFORM,161.08518802172057,PASS,,,,3.8815038856757247,9.999220736e-08,0.84243166265344,3.3554432e-05,3.3554432e-05,2.68435456e-05,12.1938015944704,0.69114613727232,9.425984421888,9.425984421888,12.451579953152,0.330779590656,1.34195970048,0.051512459993328,12.640960362135287,31.3481786032128,23.892571413916908,10.26734825625078,0.12880524476416,9.2053983232e-06,0.027955560448,0.00308905984,0.00308905984,0.002471247872,0.0,0.0,0.0,0.0,0.0,0.0,0.36180074496,0.001769829821382135,0.12116661899447467,26.501287350133328,5.147907583602103,0.0
Llama-3.1-8B,LC64K,8,M3D_NMP_CPA,144.3836081261585,PASS,,,,3.8815038856757247,9.999220736e-08,0.84243166265344,3.3554432e-05,3.3554432e-05,2.68435456e-05,9.783781359616,0.69114613727232,6.421713518592,6.421713518592,12.451579953152,0.20456983756799998,1.34195970048,0.051512459993328,8.565890294937068,31.3481786032128,21.037654162299802,9.040505437312618,0.12880524476416,9.2053983232e-06,0.027955560448,0.00308905984,0.00308905984,0.002471247872,0.0,0.0,0.0,0.0,0.0,0.0,0.36180074496,0.001769829821382135,0.12118865572028815,26.501287350133328,5.147907583602103,0.0
Llama-3.1-8B,LC126K,1,HBM_GPU,150.18109158717206,PASS,125.1773641190643,25.00372746810777,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC126K,1,M3D_GPU,131.58968642342933,PASS,,,,1.4882336883605503,1.249902592e-08,0.32300242829312,4.194304e-06,4.194304e-06,3.3554432e-06,0.0,0.0,0.0,0.0,0.0,0.0,4.03754713088,0.019750575108530708,1.3483119972338338,94.3171009773568,23.16212530019313,0.0,0.047445833803366394,1.1506747904e-06,0.01029752225792,0.00038613248,0.00038613248,0.000308905984,0.0,0.0,0.0,0.0,0.0,0.0,0.130263558144,0.000637213652965414,0.043536880631902766,5.577000122776772,1.0833391165674058,0.0
Llama-3.1-8B,LC126K,1,M3D_NMP_UNIFORM,30.90957555957394,PASS,,,,1.4882336883605503,1.249902592e-08,0.32300242829312,4.194304e-06,4.194304e-06,3.3554432e-06,2.6235287896064,0.08426138632192,1.1903685427200001,1.1903685427200001,2.596634886144,0.041347448832,0.20025081856,0.019750575108530708,2.713865563841633,4.6778591215616006,4.802633663493099,2.0638344662037915,0.047445833803366394,1.1506747904e-06,0.01029752225792,0.00038613248,0.00038613248,0.000308905984,0.0,0.0,0.0,0.0,0.0,0.0,0.130263558144,0.000637213652965414,0.04355819243585196,5.577000122776772,1.0833391165674058,0.0
Llama-3.1-8B,LC126K,1,M3D_NMP_CPA,28.58690438283819,PASS,,,,1.4882336883605503,1.249902592e-08,0.32300242829312,4.194304e-06,4.194304e-06,3.3554432e-06,2.3104399343616002,0.08426138632192,0.7313706516480001,0.7313706516480001,2.596634886144,0.030677139456,0.20025081856,0.019750575108530708,1.9956808326237148,4.6778591215616006,4.548927322210261,1.9548093087335987,0.047445833803366394,1.1506747904e-06,0.01029752225792,0.00038613248,0.00038613248,0.000308905984,0.0,0.0,0.0,0.0,0.0,0.0,0.130263558144,0.000637213652965414,0.04355819243585196,5.577000122776772,1.0833391165674058,0.0
Llama-3.1-8B,LC126K,8,HBM_GPU,723.0917049817793,PASS,604.8075570106664,114.90663937662976,3.3775085944831997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC126K,8,M3D_GPU,634.1645550603182,PASS,,,,6.948808467205324,9.999220736e-08,1.50815159353344,3.3554432e-05,3.3554432e-05,2.68435456e-05,0.0,0.0,0.0,0.0,0.0,0.0,18.852029136896,0.09221893889383871,6.2986179001908225,440.3834006378906,105.68350611505117,0.0,0.22465851293696,9.2053983232e-06,0.048759308288,0.00308905984,0.00308905984,0.002471247872,0.0,0.0,0.0,0.0,0.0,0.0,0.62184759296,0.003041907287023095,0.2080484090795074,44.616000982214175,8.666712932539246,0.0
Llama-3.1-8B,LC126K,8,M3D_NMP_UNIFORM,215.1911890636708,PASS,,,,6.948808467205324,9.999220736e-08,1.50815159353344,3.3554432e-05,3.3554432e-05,2.68435456e-05,15.6206721138688,0.68873927786496,9.515864162304,9.515864162304,20.773079089152,0.330779590656,1.60200654848,0.09221893889383871,16.256213721692205,37.422872972492804,28.33968750003107,12.178406250013353,0.22465851293696,9.2053983232e-06,0.048759308288,0.00308905984,0.00308905984,0.002471247872,0.0,0.0,0.0,0.0,0.0,0.0,0.62184759296,0.003041907287023095,0.2080508136015062,44.616000982214175,8.666712932539246,0.0
Llama-3.1-8B,LC126K,8,M3D_NMP_CPA,198.69079306172165,PASS,,,,6.948808467205324,9.999220736e-08,1.50815159353344,3.3554432e-05,3.3554432e-05,2.68435456e-05,13.528026474086401,0.68873927786496,6.658517630976,6.658517630976,20.773079089152,0.241915920384,1.60200654848,0.09221893889383871,11.640108620018044,37.422872972492804,25.550266385423807,10.979709068330772,0.22465851293696,9.2053983232e-06,0.048759308288,0.00308905984,0.00308905984,0.002471247872,0.0,0.0,0.0,0.0,0.0,0.0,0.62184759296,0.003041907287023095,0.20808058232672338,44.616000982214175,8.666712932539246,0.0
Llama-3.1-70B,LC20K,1,HBM_GPU,679.1917361887723,PASS,563.3590008619682,114.89372587190482,0.9390094548992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-70B,LC20K,1,M3D_GPU,592.7604059536808,PASS,,,,6.869716379788902,3.1247564799999997e-08,1.49098564943872,1.048576e-05,1.048576e-05,8.388608e-06,0.0,0.0,0.0,0.0,0.0,0.0,18.637362561024,0.09116883884607614,6.226511652657214,435.3687894255207,106.18182638317792,0.0,0.219374142554112,5.62532606976e-06,0.0476124020736,0.001887693312,0.001887693312,0.0015101546496,0.0,0.0,0.0,0.0,0.0,0.0,0.6027057991679999,0.002948270586941821,0.20144471728240837,13.201602013979812,3.6130371596071127,0.0
Llama-3.1-70B,LC20K,1,M3D_NMP_UNIFORM,123.96982930005375,PASS,,,,6.869716379788902,3.1247564799999997e-08,1.49098564943872,1.048576e-05,1.048576e-05,8.388608e-06,13.4805635465216,0.53306181287936,7.683172761600001,7.683172761600001,6.137868976128,0.20673724416,0.7221627453439999,0.09116883884607614,13.758326924711067,16.869721731235842,21.597536049384896,9.281103329330268,0.219374142554112,5.62532606976e-06,0.0476124020736,0.001887693312,0.001887693312,0.0015101546496,0.0,0.0,0.0,0.0,0.0,0.0,0.6027057991679999,0.002948270586941821,0.20146678216699648,13.201602013979812,3.2835005805803155,0.0
Llama-3.1-70B,LC20K,1,M3D_NMP_CPA,105.66557421297743,PASS,,,,6.869716379788902,3.1247564799999997e-08,1.49098564943872,1.048576e-05,1.048576e-05,8.388608e-06,10.5994055319552,0.53306181287936,3.881547890688,3.881547890688,6.137868976128,0.07335837696,0.7221627453439999,0.09116883884607614,10.007946901083592,16.869721731235842,18.844501603142856,8.098042580810038,0.219374142554112,5.62532606976e-06,0.0476124020736,0.001887693312,0.001887693312,0.0015101546496,0.0,0.0,0.0,0.0,0.0,0.0,0.6027057991679999,0.002948270586941821,0.2014735370708272,13.201602013979812,3.2835005805803155,0.0
Llama-3.1-70B,LC20K,8,HBM_GPU,1148.4859604382677,PASS,967.1619079109017,115.51847622067814,65.805576306688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-70B,LC20K,8,M3D_GPU,885.1584622650118,PASS,,,,9.04968020248494,2.4998051839999997e-07,1.96411941453824,8.388608e-05,8.388608e-05,6.7108864e-05,0.0,0.0,0.0,0.0,0.0,0.0,24.551828226048,0.12010078040133282,8.196679948799835,573.5307073604813,139.93947460503472,0.0,0.32036655181332474,4.500260855808e-05,0.06953153593344,0.015101546496,0.015101546496,0.0120812371968,0.0,0.0,0.0,0.0,0.0,0.0,0.929550385152,0.004547104371557186,0.3110764626080313,105.6128161118385,20.515419111704865,0.0
Llama-3.1-70B,LC20K,8,M3D_NMP_UNIFORM,726.4573624742319,PASS,,,,9.04968020248494,2.4998051839999997e-07,1.96411941453824,8.388608e-05,8.388608e-05,6.7108864e-05,58.0366383448064,4.2820790386688,61.45292500992,61.45292500992,49.102951809024,1.65389795328,5.7773019627519995,0.12010078040133282,59.41094533050364,134.95777384988673,105.88710307161027,45.50283618482712,0.32036655181332474,4.500260855808e-05,0.06953153593344,0.015101546496,0.015101546496,0.0120812371968,0.0,0.0,0.0,0.0,0.0,0.0,0.929550385152,0.004547104371557186,0.3112892469929001,105.6128161118385,20.515419111704865,0.0
Llama-3.1-70B,LC20K,8,M3D_NMP_CPA,636.4178626210062,PASS,,,,9.04968020248494,2.4998051839999997e-07,1.96411941453824,8.388608e-05,8.388608e-05,6.7108864e-05,42.2696993161216,4.2820790386688,46.294831988736,46.294831988736,49.102951809024,0.45348814847999996,5.7773019627519995,0.12010078040133282,39.68240277446649,134.95777384988673,89.78091336497116,38.58152763521734,0.32036655181332474,4.500260855808e-05,0.06953153593344,0.015101546496,0.015101546496,0.0120812371968,0.0,0.0,0.0,0.0,0.0,0.0,0.929550385152,0.004547104371557186,0.31136508190595313,105.6128161118385,20.515419111704865,0.0
Llama-3.1-70B,LC64K,1,HBM_GPU,751.0394781549653,PASS,615.0331891641613,114.89372587190482,21.1125631188992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-70B,LC64K,1,M3D_GPU,658.3205721458984,PASS,,,,7.5499653797249024,3.1247564799999997e-08,1.63862515023872,1.048576e-05,1.048576e-05,8.388608e-06,0.0,0.0,0.0,0.0,0.0,0.0,20.482856321024,0.10019645524242346,6.844752185878887,478.4795236591207,116.68055650962495,0.0,0.24063192380211199,5.62532606976e-06,0.0522261364736,0.001887693312,0.001887693312,0.0015101546496,0.0,0.0,0.0,0.0,0.0,0.0,0.6603774791679999,0.0032303835993276746,0.22076814982473814,21.23635402820922,4.12518782599168,0.0
