model,context,batch,path,status,external_capacity_mode,weight_GB,initial_KV_GB,final_KV_GB,workspace_GB,peak_state_GB,HBM_resident_GB,Grace_resident_GB,resident_bytes,max_group_bytes,group_capacity_bytes,max_die_bytes,die_capacity_bytes,slot_capacity_violations,max_slot_bytes,slot_capacity_bytes,total_capacity_bytes,initial_placement_provenance
Llama-3.1-405B,LC64K,8,M3D_GPU,EVALUATED,NOT_APPLICABLE,811.7067776,264.241152,264.90175488,0.327155712,1076.935688192,,,1076608532480,48847200,67108864,3399180960,4697620480,0,,,,
Llama-3.1-405B,LC64K,8,M3D_NMP_UNIFORM,EVALUATED,NOT_APPLICABLE,811.7067776,264.241152,264.90175488,0.327155712,1076.935688192,,,1076608532480,48847200,67108864,3385767904,4697620480,0,1546504,2097152,1493843312640,UNIFORM_STRIPING_CAPACITY_LEGALIZED
Llama-3.1-405B,LC64K,8,M3D_NMP_CPA,EVALUATED,NOT_APPLICABLE,811.7067776,264.241152,264.90175488,0.327155712,1076.935688192,,,1076608532480,52155232,67108864,3385767904,4697620480,0,2083144,2097152,1493843312640,UNIFORM_STRIPING_CAPACITY_LEGALIZED
Llama-3.1-405B,LC126K,1,HBM_GPU,EVALUATED,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,811.7067776,65.028096,65.11067136,0.040894464,876.858343424,144.914251776,731.903197184,,,,,,,,,,
Llama-3.1-405B,LC126K,1,M3D_GPU,EVALUATED,NOT_APPLICABLE,811.7067776,65.028096,65.11067136,0.040894464,876.858343424,,,876817448960,39649664,67108864,2763755264,4697620480,0,,,,
Llama-3.1-405B,LC126K,1,M3D_NMP_UNIFORM,EVALUATED,NOT_APPLICABLE,811.7067776,65.028096,65.11067136,0.05316992,876.87061888,,,,,,,,,,,,
Llama-3.1-405B,LC126K,1,M3D_NMP_CPA,EVALUATED,NOT_APPLICABLE,811.7067776,65.028096,65.11067136,0.05316992,876.87061888,,,,,,,,,,,,
Llama-3.1-405B,LC126K,8,HBM_GPU,EVALUATED,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,811.7067776,520.224768,520.88537088,0.327155712,1332.919304192,144.627990528,1187.964157952,,,,,,,,,,
Llama-3.1-405B,LC126K,8,M3D_GPU,EVALUATED,NOT_APPLICABLE,811.7067776,520.224768,520.88537088,0.327155712,1332.919304192,,,1332592148480,60019072,67108864,4199041280,4697620480,0,,,,
Llama-3.1-405B,LC126K,8,M3D_NMP_UNIFORM,EVALUATED,NOT_APPLICABLE,811.7067776,520.224768,520.88537088,0.42535936,1333.01750784,,,,,,,,,,,,
Llama-3.1-405B,LC126K,8,M3D_NMP_CPA,EVALUATED,NOT_APPLICABLE,811.7067776,520.224768,520.88537088,0.42535936,1333.01750784,,,,,,,,,,,,
