model,context,batch,path,Tmax_C,thermal_metric_type,thermal_phase,provenance,thermal_status,GPU_power_W,memory_power_W,package_power_W,energy_denominator,decode_J,decode_s,power_conservation,operator_reused,physical_signature,hotspot_component,hotspot_x,hotspot_y,hotspot_z,hotspot_die,thermal_solve_s,iterations,relative_residual,max_temperature_update_K
Llama-3.1-70B,LC20K,1,M3D_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-70B,LC20K,1,M3D_NMP_UNIFORM,66.31336503782,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,131.80101050679835,232.77734993806033,364.57836044485185,DECODE_ONLY,106.4053281423443,0.29185859526195806,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.010195348000000003,0.0012500000000000011,0.00037179,,7.139562600001227,2160,0.0005817718702045281,0.009624007341279014
Llama-3.1-70B,LC20K,1,M3D_NMP_CPA,64.43640331220433,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,140.24528652449226,205.71657776485767,345.96186428934277,DECODE_ONLY,88.10106630036415,0.25465542706949806,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.010195348000000003,-0.0002500000000000002,0.00037179,,7.011414400010835,2130,0.0006010561969722811,0.00944037316144886
Llama-3.1-70B,LC20K,8,HBM_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-70B,LC20K,8,M3D_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-70B,LC20K,8,M3D_NMP_UNIFORM,73.69012009231426,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,168.31625736457826,250.05586429946172,418.3721216640314,DECODE_ONLY,598.651513093628,1.4309067982650037,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,-0.0007500000000000007,0.00037179,,7.29943870002171,2210,0.0005593406675113552,0.0097153615750042
Llama-3.1-70B,LC20K,8,M3D_NMP_CPA,74.34452018887862,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,185.23606221618246,233.97646255515428,419.21252477132725,DECODE_ONLY,508.6119374054892,1.2132555860131238,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,0.0007500000000000007,0.00037179,,7.298194900038652,2210,0.000572767247305534,0.008567403797517368
Llama-3.1-70B,LC64K,1,HBM_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-70B,LC64K,1,M3D_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-70B,LC64K,1,M3D_NMP_UNIFORM,67.64788422349426,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,136.2266612987129,238.5759596903266,374.80262098903245,DECODE_ONLY,117.83842775193722,0.3144012905805778,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.010195348000000003,-0.0012500000000000011,0.00037179,,7.132084799988661,2160,0.0005989677987447023,0.009906428697836974
Llama-3.1-70B,LC64K,1,M3D_NMP_CPA,65.77267653661892,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,141.8889227904804,215.00468704762525,356.89360983809837,DECODE_ONLY,102.84914233926726,0.2881787163012578,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.010195348000000003,-0.0002500000000000002,0.00037179,,7.002148600004148,2130,0.000619956440254164,0.009734584572253614
Llama-3.1-70B,LC64K,8,HBM_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-70B,LC64K,8,M3D_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
