model,context_label,H,P,G,B,path,E2E_time_s,total_average_power_W,GPU_power_W,memory_power_W,NMP_power_W,mapped_package_power_W,excluded_external_power_W,thermal_operator_reused,thermal_convention,physical_signature,Tmax_C,hotspot_component,hotspot_x,hotspot_y,hotspot_z,hotspot_die,thermal_solve_s,iterations,relative_residual,max_temperature_update_K,thermal_status,power_columns,thermal_boundary,hotspot_coordinate_units
Llama-3.1-8B,LC126K,126000,512,512,8,HBM_GPU,22.92214812022675,445.40278195134596,390.5546325693005,51.6859428051937,0.0,442.2405753744931,3.1622065768517236,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,d5c3af03d38021a6c43869ae442195160499a566aa85d7001aedea0df3252a51,86.1431167971486,gpu/FEOL,-0.012258,0.0002479166666666671,0.00037179,,0.9682424000347964,910,0.00010429942774530272,0.008818529844949297,THERMAL_CLOSURE_REQUIRED,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + local HBM; external Grace and off-package link energy excluded; no separate GPU-side C2C mapper,m
Llama-3.1-8B,LC126K,126000,512,512,8,M3D_GPU,22.77407454270643,416.4513720761164,392.6128227643519,23.83854931176453,0.0,416.4513720760984,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,85.16277933996531,gpu/FEOL,0.01595,0.002250000000000001,0.00037179,,7.667727300024126,2290,0.0005746576113067796,0.008162198776835787,THERMAL_CLOSURE_REQUIRED,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
Llama-3.1-8B,LC126K,126000,512,512,8,M3D_NMP_UNIFORM,6.60659521317107,422.7112315487725,191.82451230064416,230.88671924812846,174.41473374928287,422.71123154876295,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,74.92494244147406,gpu/FEOL,0.011095348000000001,0.0007500000000000007,0.00037179,,7.410571700020228,2210,0.0005797583176441623,0.008778898948989788,THERMAL_FEASIBLE,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
Llama-3.1-8B,LC126K,126000,512,512,8,M3D_NMP_CPA,6.004584881213834,421.4599961809753,203.63741446890717,217.8225817120682,158.87701851209545,421.45999618096516,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,75.30598799377447,gpu/FEOL,0.01595,0.0002500000000000002,0.00037179,,7.402902200003155,2210,0.0005876614279201693,0.009213304005740204,THERMAL_FEASIBLE,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
Llama-3.1-70B,LC20K,20000,512,256,1,HBM_GPU,11.386053855772625,437.9770602659007,384.8874580158629,52.22856721018923,0.0,437.116025226051,0.861035039848645,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,d5c3af03d38021a6c43869ae442195160499a566aa85d7001aedea0df3252a51,85.36268946429448,gpu/FEOL,0.012258,-0.0002479166666666671,0.00037179,,0.9542311999830417,910,0.00010296328634277548,0.0085435487563825,THERMAL_CLOSURE_REQUIRED,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + local HBM; external Grace and off-package link energy excluded; no separate GPU-side C2C mapper,m
Llama-3.1-70B,LC20K,20000,512,256,1,M3D_GPU,11.127996590065392,416.1827113874667,392.0969109222261,24.085800465240684,0.0,416.1827113874489,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,85.10643129682654,gpu/FEOL,0.01595,-0.002250000000000001,0.00037179,,7.669140799960587,2290,0.0005738596410770246,0.008161425773528633,THERMAL_CLOSURE_REQUIRED,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
Llama-3.1-70B,LC20K,20000,512,256,1,M3D_NMP_UNIFORM,2.4757729810756763,370.3247519775866,149.99403633336144,220.3307156442249,158.92375483486026,370.3247519775788,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,67.57603731965435,gpu/FEOL,0.010195348000000003,0.0012500000000000011,0.00037179,,7.251883600023575,2160,0.0005978895222118741,0.009796595868560727,THERMAL_FEASIBLE,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
Llama-3.1-70B,LC20K,20000,512,256,1,M3D_NMP_CPA,2.1806001352511433,353.8818819056532,160.28082647319042,193.60105543246257,128.1864044501983,353.8818819056451,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,66.02455074679614,gpu/FEOL,0.010595348000000001,-0.0012500000000000011,0.00037179,,7.236649899976328,2160,0.0005836460034474515,0.009402608825592136,THERMAL_FEASIBLE,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
Llama-3.1-70B,LC20K,20000,512,256,8,HBM_GPU,31.155499152196803,272.03001878340143,235.8620787116446,19.079045254116572,0.0,254.9411239657605,17.0888948176402,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,d5c3af03d38021a6c43869ae442195160499a566aa85d7001aedea0df3252a51,58.245585972807305,gpu/FEOL,-0.011766,-0.0009958333333333338,0.00037179,,0.9176259000087157,880,9.518611258603681e-05,0.008993683655673157,THERMAL_FEASIBLE,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + local HBM; external Grace and off-package link energy excluded; no separate GPU-side C2C mapper,m
Llama-3.1-70B,LC20K,20000,512,256,8,M3D_GPU,15.670020602831261,418.5427898879737,395.8179467589408,22.724843129032894,0.0,418.5427898879556,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,85.55777667840812,gpu/FEOL,0.01595,-0.002250000000000001,0.00037179,,7.64805710001383,2290,0.0005799543045980433,0.008180391409101595,THERMAL_CLOSURE_REQUIRED,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
