model,context_label,H,P,G,B,path,status,workspace_GB,peak_state_GB,external_capacity_mode,external_resident_required_GB,local_capacity_GB
Llama-3.1-405B,LC20K,20000,512,256,1,M3D_NMP_CPA,EVALUATED,0.163577856,822.588637184,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-405B,LC20K,20000,512,256,8,HBM_GPU,EVALUATED,1.308622848,898.761654272,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,753.806508032,144.95514624
Llama-3.1-405B,LC20K,20000,512,256,8,M3D_GPU,EVALUATED,1.308622848,898.761654272,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-405B,LC20K,20000,512,256,8,M3D_NMP_UNIFORM,EVALUATED,1.308622848,898.761654272,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-405B,LC20K,20000,512,256,8,M3D_NMP_CPA,EVALUATED,1.308622848,898.761654272,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-405B,LC64K,64000,512,512,1,HBM_GPU,EVALUATED,0.163577856,845.42898176,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,700.47383552,144.95514624
Llama-3.1-405B,LC64K,64000,512,512,1,M3D_GPU,EVALUATED,0.163577856,845.42898176,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-405B,LC64K,64000,512,512,1,M3D_NMP_UNIFORM,EVALUATED,0.163577856,845.42898176,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-405B,LC64K,64000,512,512,1,M3D_NMP_CPA,EVALUATED,0.163577856,845.42898176,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-405B,LC64K,64000,512,512,8,HBM_GPU,EVALUATED,1.308622848,1081.48441088,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,936.52926464,144.95514624
Llama-3.1-405B,LC64K,64000,512,512,8,M3D_GPU,EVALUATED,1.308622848,1081.48441088,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-405B,LC64K,64000,512,512,8,M3D_NMP_UNIFORM,EVALUATED,1.308622848,1081.48441088,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-405B,LC64K,64000,512,512,8,M3D_NMP_CPA,EVALUATED,1.308622848,1081.48441088,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-405B,LC126K,126000,512,512,1,HBM_GPU,EVALUATED,0.163577856,877.42693376,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,732.47178752,144.95514624
Llama-3.1-405B,LC126K,126000,512,512,1,M3D_GPU,EVALUATED,0.163577856,877.42693376,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-405B,LC126K,126000,512,512,1,M3D_NMP_UNIFORM,EVALUATED,0.163577856,877.42693376,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-405B,LC126K,126000,512,512,1,M3D_NMP_CPA,EVALUATED,0.163577856,877.42693376,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-405B,LC126K,126000,512,512,8,HBM_GPU,EVALUATED,1.308622848,1337.46802688,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,1192.51288064,144.95514624
Llama-3.1-405B,LC126K,126000,512,512,8,M3D_GPU,EVALUATED,1.308622848,1337.46802688,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-405B,LC126K,126000,512,512,8,M3D_NMP_UNIFORM,EVALUATED,1.308622848,1337.46802688,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-405B,LC126K,126000,512,512,8,M3D_NMP_CPA,EVALUATED,1.308622848,1337.46802688,NOT_APPLICABLE,0,1493.84331264
