model,context,batch,placement,transfer_count,PORT_SERIALIZATION,GLOBAL_THERMAL_CAP,ROUTE_STARTUP,active_ports,max_port_bytes,mean_active_port_bytes,max_mean_load_ratio,max_port_utilization,mean_active_port_utilization,boundary_s,cap_only_s,port_serialization_s,route_startup_s,PORT_SERIALIZATION_boundary_s,GLOBAL_THERMAL_CAP_boundary_s,active_ports_transfer_mean,max_port_bytes_transfer_mean,mean_active_port_bytes_transfer_mean,max_mean_load_ratio_transfer_mean,max_port_utilization_transfer_mean,mean_active_port_utilization_transfer_mean,ROUTE_STARTUP_boundary_s,phase_active_external_ports,phase_max_port_bytes,phase_mean_active_port_bytes,phase_port_max_mean_ratio,phase_max_port_utilization,phase_mean_active_port_utilization
Llama-3.1-70B,LC64K,8,old,28224,10272,17952,0,154545536.0,1456581290.6666198,1278846680.7142775,33178.807340583,19118.537148468862,16662.5296109337,3.0376116555348305,2.894455552978904,1.4565812906668265,0.0001723815491734564,0.1684779244068347,2.8691337311280773,5475.678004535147,51607.897203324115,45310.61085297185,1.1755529811714498,0.6773858116662721,0.590367404015508,0.0,15900,887182933.3333367,618172614.8749706,1.435170229132158,0.2852976857329461,0.19879013648817434
Llama-3.1-70B,LC64K,8,new,28224,10272,17952,0,183407340.0,1057549390.7692242,1021149827.2479994,33251.45160596679,16570.069664629642,14139.016100395631,2.9544557470343875,2.894455552978904,1.0575493907694833,0.00015874944589133134,0.08532201590648937,2.8691337311280773,6498.275935374149,37469.86220129054,36180.19512641722,1.178126828442701,0.5870914705438507,0.5009572031035867,0.0,15900,885065258.666667,618172614.8749685,1.4317445279352599,0.2924613506021155,0.20426922882944656
Llama-3.1-70B,LC126K,1,old,28224,10272,17952,0,150957560.0,1092196939.4872482,914182409.4114597,33019.947307551876,19035.674974814243,16708.559545467044,1.8425879367264046,1.6994107844302206,1.0921969394871853,0.00016959296349560742,0.1684762782556809,1.6741116584705469,5348.553004535147,38697.45392174207,32390.24976656249,1.1699244369172292,0.6744499353321373,0.591998283215244,0.0,15900,525408767.9999998,362945358.50666666,1.4476249817928144,0.28243451002533576,0.1951019867559581
Llama-3.1-70B,LC126K,1,new,28224,10272,17952,0,182600106.0,692971352.6153848,656582202.671464,30874.037981369427,16481.928168370723,15150.657542224817,1.7592362211877137,1.6994107844302206,0.6929713526153837,0.00015746801795209523,0.08512456271730898,1.6741116584705469,6469.674957482993,24552.55642769929,23263.258314606857,1.0938930690677944,0.583968543380482,0.5368005081570584,0.0,15644,523071744.0,368884633.1025313,1.4179819300160776,0.2944100980078172,0.20762612821482082
Llama-3.1-70B,LC126K,8,old,28224,10272,17952,0,154334016.0,1923302176.8206449,1746143122.0458682,37738.93875479326,19702.35249604495,15375.826529930111,4.569304403538829,4.426042260725544,1.9233021768207619,0.0001727491253698108,0.1685839646637252,4.400720438874955,5468.183673469388,68144.20977964303,61867.31583212401,1.3371222631375161,0.6980708792532934,0.5447784343087483,0.0,15900,1357839123.6923108,945275568.334089,1.436447919716475,0.28835090085614234,0.20073884816726026
Llama-3.1-70B,LC126K,8,new,28224,10272,17952,0,183407242.0,1525476430.7692423,1488439813.2736578,33252.76687979266,16570.799997019134,14139.326055623,4.486042166615469,4.426042260725544,1.5254764307697521,0.00015831873298246036,0.08532172774035225,4.400720438874955,6498.272463151928,54048.9098203388,52736.67138866418,1.1781734296978692,0.587117346833161,0.5009681850773455,0.0,15900,1354188721.2307692,945275568.3340883,1.4325861860762266,0.2927614197394447,0.20435867844105204
Llama-3.1-405B,LC20K,1,old,44416,16160,28256,0,287092616.0,3548022124.3075366,3072595171.8312287,50051.31100260667,24426.37974041491,21551.73235733729,8.157495002253578,7.707368240216796,3.5480221243085404,0.0002672847734216469,0.5298139678493026,7.627681034405227,6463.720641210374,79881.62203502198,69177.66507184863,1.1268756980053736,0.5499455092852781,0.48522452173399877,0.0,15900,2358788608.0,1646072600.408553,1.432979692034575,0.28881163482089073,0.2015462161999169
Llama-3.1-405B,LC20K,1,new,44416,16160,28256,0,322928398.0,3018333124.923074,2593301068.9681525,52231.2056046544,25721.681527866844,22512.38328837632,7.894096042734086,7.707368240216796,3.0183331249233745,0.00025490090569093557,0.266415008328216,7.627681034405227,7270.542101945245,67955.98714254038,58386.64150234493,1.1759547371364913,0.5791084637938321,0.5068530099148127,0.0,15900,2356423637.333333,1646072600.4085534,1.431542956700981,0.29815244150019365,0.2082734856851881
Llama-3.1-405B,LC20K,8,old,44416,16160,28256,0,292738528.0,3754467328.0004015,3281900348.438983,49557.31456432694,24335.193573436205,21484.987470280328,8.843259813342229,8.393166488399206,3.754467327999794,0.0002724666866714447,0.5298167361072162,8.313443077234728,6590.835014409222,84529.61383286206,73890.04747025808,1.1157536600397815,0.5478925066065428,0.4837218000333287,0.0,15900,2595390345.8461413,1792539418.9846504,1.4478846704058819,0.29102034977837915,0.20099691344670303
Llama-3.1-405B,LC20K,8,new,44416,16160,28256,0,324199472.0,3226835908.9230824,2802528334.9002595,51952.727625230655,25636.66451836301,22512.330424770284,8.579859818116942,8.393166488399206,3.226835908922502,0.00025663345934427896,0.2664167408818711,8.313443077234728,7299.1595821325645,72650.30414542243,63097.26978792011,1.1696849699484568,0.5771943560510404,0.5068518197219535,0.0,15900,2582842240.000001,1792539418.9846542,1.4408844863579051,0.29844120157123244,0.20712361358376222
